City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
189,igarka,67.4667,86.5833,26.78,50,3,3.88,RU,1690442062
190,dabakala,8.3667,-4.4333,22.56,98,100,2.16,CI,1690442062
191,luderitz,-26.6481,15.1594,13.84,52,0,3.41,NA,1690442062
192,hithadhoo,-0.6,73.0833,28.61,77,8,6.55,MV,1690442063
193,port alfred,-33.5906,26.891,14.54,89,23,2.24,ZA,1690442063
194,vettavalam,12.1,79.25,34.47,39,67,9.04,IN,1690442063
195,kas,36.2018,29.6377,35.07,31,0,2.06,TR,1690442064
196,karaisali,37.2567,35.0589,29.65,29,0,2.66,TR,1690442064
197,puerto ayora,-0.7393,-90.3518,24.75,92,100,2.68,EC,1690442064
198,sittwe,20.15,92.9,28.84,81,21,5.56,MM,1690442065
199,taghazout,30.5426,-9.7112,18.43,82,0,0.2,MA,1690442065
200,pisco,-13.7,-76.2167,17.03,82,100,1.03,PE,1690442065
201,magburaka,8.7167,-11.95,22.57,99,77,0.92,SL,1690442066
202,page,36.9147,-111.4558,28.88,26,0,0.0,US,1690442066
203,sai buri,6.7013,101.6168,33.31,53,47,4.85,TH,1690441970
204,nagqu,31.5,92.0,10.43,73,73,4.5,CN,1690441911
205,hailey,43.5196,-114.3153,14.92,44,0,4.12,US,1690442067
206,oltinko'l,40.8011,72.1634,42.56,12,1,3.24,UZ,1690442067
207,hakui,36.8833,136.7833,34.51,65,0,2.5,JP,1690442067
208,olonkinbyen,70.9221,-8.7187,4.78,90,100,5.04,SJ,1690442067
209,niafunke,15.9322,-3.9906,31.6,49,100,7.49,ML,1690442068
210,nuku'alofa,-21.1333,-175.2,20.19,77,75,2.57,TO,1690441832
211,zhanaozen,43.3,52.8,31.04,31,0,3.36,KZ,1690442068
212,queenstown,-31.8976,26.8753,12.61,59,0,2.98,ZA,1690442069
213,mejit,10.2753,170.8646,28.14,81,100,8.94,MH,1690442070
214,alofi,-19.0595,-169.9187,20.94,88,100,1.54,NU,1690442070
215,mugia,43.1041,-9.2179,18.84,80,70,1.95,ES,1690442070
216,yuzhno-kurilsk,44.0306,145.8556,22.42,81,99,0.71,RU,1690442070
